iter	Passed	Remaining
0	129	129196
1	240	119878
2	348	115813
3	477	118870
4	608	121063
5	733	121546
6	854	121195
7	970	120363
8	1086	119638
9	1202	119022
10	1318	118510
11	1434	118071
12	1564	118816
13	1680	118370
14	1796	117955
15	1907	117321
16	2020	116829
17	2140	116770
18	2254	116391
19	2371	116206
20	2498	116479
21	2619	116456
22	2737	116298
23	2856	116166
24	2965	115635
25	3085	115596
26	3206	115568
27	3331	115638
28	3477	116438
29	3603	116506
30	3738	116846
31	3865	116919
32	4001	117262
33	4115	116938
34	4226	116536
35	4344	116348
36	4481	116651
37	4598	116420
38	4712	116121
39	4829	115901
40	4939	115546
41	5055	115309
42	5170	115074
43	5294	115034
44	5416	114958
45	5558	115274
46	5685	115274
47	5809	115222
48	5910	114713
49	6030	114572
50	6153	114500
51	6261	114157
52	6380	114000
53	6589	115431
54	6710	115299
55	6826	115068
56	6941	114836
57	7055	114583
58	7156	114146
59	7272	113928
60	7351	113171
61	7464	112934
62	7602	113072
63	7714	112821
64	7829	112626
65	7947	112474
66	8048	112073
67	8156	111798
68	8274	111649
69	8394	111528
70	8525	111548
71	8643	111399
72	8758	111217
73	8875	111067
74	8990	110884
75	9108	110738
76	9223	110556
77	9338	110390
78	9482	110553
79	9593	110326
80	9710	110169
81	9828	110027
82	9925	109656
83	10043	109526
84	10161	109389
85	10275	109205
86	10340	108519
87	10472	108533
88	10587	108375
89	10703	108225
90	10821	108096
91	10934	107919
92	11108	108340
93	11267	108596
94	11420	108798
95	11567	108927
96	11722	109132
97	11869	109243
98	11980	109032
99	12123	109109
100	12262	109148
101	12402	109190
102	12574	109505
103	12714	109536
104	12826	109333
105	12970	109389
106	13104	109365
107	13252	109454
108	13371	109304
109	13511	109322
110	13639	109235
111	13778	109244
112	13901	109118
113	14022	108984
114	14140	108819
115	14250	108597
116	14377	108510
117	14543	108705
118	14690	108756
119	14839	108823
120	14985	108865
121	15126	108857
122	15174	108192
123	15322	108244
124	15473	108313
125	15614	108309
126	15699	107915
127	15828	107833
128	15978	107882
129	16124	107912
130	16254	107828
131	16425	108011
132	16563	107976
133	16721	108067
134	16832	107851
135	16950	107683
136	17071	107540
137	17187	107357
138	17301	107166
139	17432	107082
140	17548	106911
141	17667	106749
142	17732	106271
143	17853	106127
144	17969	105958
145	18082	105770
146	18203	105627
147	18316	105445
148	18452	105391
149	18578	105279
150	18624	104717
151	18743	104571
152	18864	104431
153	18952	104115
154	19063	103928
155	19251	104157
156	19370	104010
157	19505	103946
158	19591	103626
159	19699	103424
160	19794	103154
161	19903	102956
162	20018	102795
163	20140	102669
164	20254	102501
165	20379	102388
166	20510	102308
167	20543	101738
168	20653	101557
169	20720	101163
170	20849	101079
171	20964	100921
172	21065	100701
173	21185	100569
174	21296	100396
175	21425	100309
176	21538	100147
177	21663	100041
178	21777	99883
179	21844	99513
180	21926	99213
181	21993	98851
182	22108	98702
183	22178	98356
184	22310	98288
185	22437	98192
186	22546	98022
187	22659	97869
188	22774	97724
189	22844	97390
190	22907	97025
191	23028	96911
192	23144	96773
193	23260	96636
194	23337	96341
195	23470	96275
196	23583	96131
197	23699	95996
198	23808	95830
199	23920	95683
200	24038	95557
201	24150	95405
202	24268	95281
203	24399	95207
204	24562	95253
205	24712	95252
206	24850	95200
207	25008	95223
208	25158	95217
209	25316	95238
210	25460	95205
211	25620	95231
212	25772	95223
213	25936	95262
214	26070	95187
215	26228	95201
216	26380	95188
217	26488	95016
218	26616	94920
219	26764	94892
220	26888	94777
221	27011	94660
222	27062	94292
223	27206	94250
224	27412	94419
225	27530	94285
226	27650	94157
