iter	Passed	Remaining
0	83	41683
1	136	33962
2	225	37311
3	299	37178
4	388	38412
5	449	37019
6	523	36852
7	594	36574
8	668	36448
9	757	37122
10	843	37496
11	943	38374
12	1030	38587
13	1101	38240
14	1161	37541
15	1252	37892
16	1367	38847
17	1475	39518
18	1570	39765
19	1673	40155
20	1757	40082
21	1856	40328
22	1952	40486
23	2058	40827
24	2159	41038
25	2260	41214
26	2343	41055
27	2432	41008
28	2512	40808
29	2590	40583
30	2664	40316
31	2747	40181
32	2823	39953
33	2900	39757
34	2979	39583
35	3063	39479
36	3145	39358
37	3220	39151
38	3297	38979
39	3381	38889
40	3452	38646
41	3534	38537
42	3617	38447
43	3700	38350
44	3779	38210
45	3877	38270
46	3953	38103
47	4030	37955
48	4105	37790
49	4187	37684
50	4268	37580
51	4355	37524
52	4440	37452
53	4516	37299
54	4592	37159
55	4673	37056
56	4753	36946
57	4834	36840
58	4912	36720
59	4992	36612
60	5068	36476
61	5143	36337
62	5231	36288
63	5319	36241
64	5405	36173
65	5486	36078
66	5563	35953
67	5643	35855
68	5720	35734
69	5796	35609
70	5874	35494
71	5957	35413
72	6035	35303
73	6115	35204
74	6195	35105
75	6275	35013
76	6357	34924
77	6444	34865
78	6517	34733
79	6584	34569
80	6665	34479
81	6741	34364
82	6820	34268
83	6900	34176
84	6968	34021
85	7052	33948
86	7130	33851
87	7213	33770
88	7294	33684
89	7375	33598
90	7455	33507
91	7527	33384
92	7603	33273
93	7683	33186
94	7767	33114
95	7864	33096
96	7940	32990
97	8023	32911
98	8094	32785
99	8174	32699
100	8254	32609
101	8337	32533
102	8421	32461
103	8504	32382
104	8583	32288
105	8654	32170
106	8740	32104
107	8818	32006
108	8908	31954
109	8989	31873
110	9069	31783
111	9149	31695
112	9224	31592
113	9305	31508
114	9386	31425
115	9475	31366
116	9548	31257
117	9631	31180
118	9713	31098
119	9798	31027
120	9878	30941
121	9956	30848
122	10044	30788
123	10133	30727
124	10215	30647
125	10236	30383
126	10305	30268
127	10392	30202
128	10481	30144
129	10556	30045
130	10635	29957
131	10715	29872
132	10841	29916
133	10941	29885
134	11049	29875
135	11153	29850
136	11250	29810
137	11419	29955
