iter	RMSE
0	1.815431844
1	1.748398841
2	1.682847581
3	1.620470695
4	1.562190091
5	1.512764395
6	1.460111987
7	1.410525407
8	1.363862292
9	1.320728981
10	1.280953908
11	1.242946777
12	1.206748408
13	1.176878606
14	1.145386019
15	1.115925218
16	1.092225708
17	1.066460134
18	1.041968977
19	1.019146684
20	0.9984473061
21	0.9791412326
22	0.9610298356
23	0.9444334928
24	0.9289742695
25	0.9145729839
26	0.9004971894
27	0.8885256085
28	0.8769346702
29	0.8663226866
30	0.8563703489
31	0.8472096633
32	0.8386929592
33	0.8307749203
34	0.8235722298
35	0.8170821202
36	0.8110760985
37	0.8051003739
38	0.7998766675
39	0.7948081375
40	0.7901680863
41	0.7866471179
42	0.7825229394
43	0.778848993
44	0.775474621
45	0.7724257864
46	0.769395256
47	0.766494888
48	0.7637587496
49	0.7610173165
50	0.7586614903
51	0.7563988106
52	0.7541998753
53	0.7522810436
54	0.7505114044
55	0.7487627973
56	0.7473520235
57	0.7459683298
58	0.744482359
59	0.7429989896
60	0.7417442014
61	0.7402919532
62	0.7392264665
63	0.7381863838
64	0.7371078199
65	0.736239296
66	0.7354083085
67	0.7346288044
68	0.7339002501
69	0.7329960568
70	0.7322494485
71	0.7314222657
72	0.7308426055
73	0.7302046933
74	0.7295448401
75	0.7290239043
76	0.7284462576
77	0.7279244452
78	0.7274661148
79	0.7269368374
80	0.7265036172
81	0.725999692
82	0.7254536596
83	0.7250326374
84	0.7246691687
85	0.7241902292
86	0.7237763403
87	0.7233918543
88	0.7230643158
89	0.7227568301
90	0.7223997225
91	0.722018834
92	0.721786486
93	0.7214617038
94	0.7212190431
95	0.7209616767
96	0.7207114915
97	0.7205185215
98	0.7201934834
99	0.7198107922
100	0.7195022916
101	0.7193178138
102	0.7190846793
103	0.7188070626
104	0.718591718
105	0.7182308188
106	0.718084379
107	0.7178639366
108	0.717525297
109	0.7174179002
110	0.7172405054
111	0.7170853334
112	0.7169000545
113	0.716733661
114	0.7166139597
115	0.7164881627
116	0.7162106465
117	0.7159560441
118	0.7157679939
119	0.7156088355
120	0.7154581045
121	0.7154107297
122	0.7152608916
123	0.7150802642
124	0.7149003064
125	0.7149003064
126	0.7148158685
127	0.7146529848
128	0.7145906996
129	0.7143524477
130	0.7142500603
131	0.7140686617
132	0.7139943147
133	0.7138252006
134	0.7135666717
135	0.7134020383
136	0.7132491557
137	0.7130839019
138	0.7129712142
139	0.7127241608
140	0.7126490332
141	0.7124847323
142	0.7123659796
143	0.712282361
144	0.7121568397
145	0.7119541848
146	0.7118912668
147	0.7117969126
148	0.7116579353
149	0.7115737661
150	0.711455532
151	0.7112232061
152	0.7111195876
153	0.7110176571
154	0.7106825166
155	0.7106409575
156	0.7105752253
157	0.7103122192
158	0.7100378217
159	0.709976422
160	0.7098045672
161	0.7095728672
162	0.7095141955
163	0.7094408467
164	0.7092966418
165	0.7092205045
166	0.7091059111
167	0.7090463199
168	0.7089247624
169	0.7088286456
170	0.708767722
171	0.7086416573
172	0.7085247378
173	0.7084515599
174	0.7084201488
175	0.7083013857
176	0.7082095859
177	0.7081481051
178	0.7080496911
179	0.7079999766
180	0.7078668523
181	0.7077029714
182	0.7075765117
183	0.7073409248
184	0.7073281243
185	0.7072288986
186	0.7071336175
187	0.7070912769
188	0.707043677
189	0.7069214077
190	0.7068737295
191	0.7068113813
192	0.7068103191
193	0.7067740122
194	0.7067365096
195	0.7066588587
196	0.7065588561
197	0.7063740393
198	0.7063085112
199	0.7061575687
200	0.7060474517
201	0.70598275
202	0.7059252628
203	0.7058460356
204	0.705767878
205	0.7056457239
206	0.7054478597
207	0.7053874188
208	0.7052854558
209	0.7052103039
210	0.7050867897
211	0.7050053598
212	0.7048351248
213	0.7046715666
214	0.7046080848
215	0.7045134474
216	0.70445701
217	0.7043983939
218	0.7043009548
219	0.7042818363
220	0.7041324166
221	0.704093758
222	0.7040245005
223	0.7039902246
224	0.7039388616
225	0.7038467963
226	0.7037482682
227	0.7036402757
228	0.7035352552
229	0.7034695713
230	0.7033930007
231	0.703347621
232	0.7032657993
233	0.7031490611
234	0.7030644011
235	0.7029976001
236	0.7029817178
237	0.7028300881
238	0.7027194116
239	0.7026150811
240	0.7025882453
241	0.7025307143
242	0.7024572893
243	0.702360008
244	0.7023203543
245	0.7021991236
246	0.7021843514
247	0.7021248204
248	0.7020800329
249	0.7019452435
250	0.7018908023
251	0.70186196
252	0.701838902
253	0.701784423
254	0.7016820627
255	0.7016076888
256	0.7014835118
257	0.7013255182
258	0.7012570401
259	0.7011690885
260	0.7011045052
261	0.7010554387
262	0.7009593507
263	0.7008590371
264	0.7008022826
265	0.7006793432
266	0.7006570365
267	0.7006321336
268	0.7005412251
269	0.7004631181
270	0.7004460771
271	0.7003933874
272	0.7003031499
273	0.7002003852
274	0.700137166
275	0.7001260361
276	0.7000817275
277	0.699946017
278	0.6998468101
279	0.699808091
280	0.6997061869
281	0.6996295519
282	0.699559248
283	0.6995321683
284	0.699489367
285	0.699400591
286	0.6993924736
287	0.6992950689
288	0.6992170697
289	0.699165901
290	0.6991147456
291	0.699054274
292	0.6989710705
293	0.6988888043
294	0.6988605542
295	0.6988212929
296	0.6988087537
297	0.6987080914
298	0.6986815721
299	0.6986239609
300	0.6985892227
301	0.6985357341
302	0.698512633
303	0.6984783816
304	0.6983853127
305	0.6983517146
306	0.6983169325
307	0.6983073487
308	0.6982422323
309	0.6981882699
310	0.6981642769
311	0.6981078693
312	0.6980667878
313	0.6980354737
314	0.6979730665
315	0.6979480192
316	0.6978880867
317	0.6978560428
318	0.6978079285
319	0.6977264522
320	0.6977121862
321	0.6976574921
322	0.6976120263
323	0.6976086733
324	0.6975422335
325	0.6975025016
326	0.6974470523
327	0.6973712997
328	0.6973269462
329	0.6972959318
330	0.6972434394
331	0.6971884272
332	0.6971359143
333	0.6970711544
334	0.6970316508
335	0.6969826241
336	0.6969510459
337	0.6969137703
338	0.6968392211
339	0.6967541412
340	0.6966742011
341	0.6966560035
342	0.6965625447
343	0.6965386634
344	0.6964816507
345	0.6964711343
346	0.6964316245
347	0.6963871866
348	0.6963421458
349	0.6962986726
350	0.6962783077
351	0.6962505599
352	0.6961946006
353	0.6961805903
354	0.6961516515
355	0.6961240129
356	0.6961045291
357	0.6960777565
358	0.6960302729
359	0.6960121472
360	0.6959670905
361	0.695939044
362	0.6958631582
363	0.6958051942
364	0.6957224486
365	0.6957030037
366	0.6956809236
367	0.6956523382
368	0.6956447424
369	0.695580128
370	0.6955201735
371	0.695474475
372	0.6954509301
373	0.6953873283
374	0.695331141
375	0.6952956235
376	0.6952836152
377	0.6951843354
378	0.6951448539
379	0.6951283918
380	0.6950809551
381	0.6950432599
382	0.6949925528
383	0.6949655161
384	0.6949220602
385	0.6948922199
386	0.694875281
387	0.6947848659
388	0.6947763589
389	0.6947250797
390	0.6947114644
391	0.6946656142
392	0.6946420773
393	0.6946046323
394	0.694557506
395	0.6945069482
396	0.6944625385
397	0.6944049185
398	0.6943552122
399	0.6943239486
400	0.6942392531
401	0.6941749786
402	0.6940977521
403	0.6940574448
404	0.69402074
405	0.694009759
406	0.6939524016
407	0.6938380561
408	0.6937779671
409	0.6937460313
410	0.6936861241
411	0.6936615036
412	0.6935944725
413	0.6935637143
414	0.6935467498
415	0.6935113361
416	0.6934744839
417	0.6934440083
418	0.6934172829
419	0.693355625
420	0.693330608
421	0.6932834586
422	0.6932360251
423	0.693190495
424	0.6930879268
425	0.69306567
426	0.6929976122
427	0.692946416
428	0.6929272104
429	0.6929137214
430	0.6928687662
431	0.692798695
432	0.6927357309
433	0.6926884575
434	0.6926248931
435	0.6925654778
436	0.692507099
437	0.6924750734
438	0.6924571434
439	0.6923978391
440	0.6923426175
441	0.6923180599
442	0.6923033743
443	0.692236148
444	0.6922203884
445	0.6921482189
446	0.6920975005
447	0.6920534578
448	0.6920061549
449	0.6919678922
450	0.6919131498
451	0.6918701482
452	0.691860655
453	0.691840912
454	0.691807303
455	0.6917792365
456	0.6917264622
457	0.6916776891
