iter	Passed	Remaining
0	92	46060
1	157	39325
2	268	44411
3	361	44844
4	466	46138
5	545	44927
6	643	45298
7	752	46285
8	870	47466
9	979	48019
10	1066	47417
11	1168	47531
12	1261	47273
13	1346	46749
14	1413	45688
15	1512	45764
16	1611	45771
17	1714	45911
18	1810	45823
19	1930	46338
20	2032	46357
21	2137	46450
22	2244	46544
23	2353	46673
24	2449	46540
25	2555	46589
26	2639	46237
27	2739	46177
28	2840	46136
29	2960	46381
30	3059	46286
31	3166	46309
32	3264	46200
33	3374	46249
34	3478	46213
35	3582	46175
36	3689	46169
37	3803	46242
38	3938	46559
39	4066	46770
40	4157	46548
41	4266	46522
42	4375	46498
43	4484	46476
44	4585	46360
45	4683	46224
46	4787	46144
47	4899	46132
48	5022	46224
49	5130	46177
50	5240	46132
51	5348	46077
52	5446	45939
53	5542	45780
54	5639	45629
55	5741	45518
56	5839	45383
57	5940	45272
58	6041	45159
59	6142	45045
60	6356	45749
61	6483	45801
62	6592	45728
63	6698	45633
64	6797	45490
65	6897	45356
66	6996	45219
67	7100	45108
68	7209	45032
69	7333	45049
70	7453	45036
71	7561	44951
72	7656	44785
73	7757	44659
74	7861	44547
75	7965	44437
76	8059	44273
77	8163	44166
78	8260	44023
79	8351	43843
80	8465	43792
81	8589	43786
82	8707	43748
83	8813	43648
84	8898	43444
85	9001	43330
86	9101	43204
87	9206	43103
88	9311	43000
89	9416	42895
90	9545	42900
91	9642	42760
92	9750	42671
93	9854	42565
94	9964	42479
95	10076	42405
96	10180	42295
97	10295	42230
98	10398	42119
99	10503	42012
100	10615	41936
101	10719	41828
102	10830	41744
103	10935	41637
104	11041	41538
105	11138	41399
106	11250	41321
107	11363	41245
108	11463	41122
109	11564	41000
110	11662	40870
111	11762	40748
112	11852	40593
113	11950	40464
114	12047	40333
115	12148	40216
116	12253	40113
117	12399	40140
118	12511	40057
119	12623	39975
120	12731	39878
121	12837	39774
122	12932	39638
123	13041	39544
124	13150	39452
125	13179	39119
126	13271	38978
127	13377	38878
128	13498	38821
129	13597	38700
130	13706	38608
131	13808	38497
132	13919	38410
133	14015	38280
134	14124	38189
135	14232	38093
136	14348	38019
137	14455	37920
138	14571	37844
139	14675	37738
140	14773	37613
141	14869	37487
142	14979	37397
143	15085	37294
144	15190	37191
145	15296	37087
146	15407	36998
147	15518	36909
148	15624	36805
149	15735	36715
